onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
146.792	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
147.809	5.008	6_DOT_DETECTION	6-DOT	#IML#	n/a	n/a
151.136	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
154.842	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
155.859	5.008	6_DOT_DETECTION	NO_6-DOT	BLPAK	n/a	n/a
158.152	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
162.892	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
163.909	5.008	6_DOT_DETECTION	6-DOT	LT##	n/a	n/a
166.296	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
170.942	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
171.959	5.008	6_DOT_DETECTION	NO_6-DOT	TCBYK	n/a	n/a
175.456	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
178.992	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
180.009	5.008	6_DOT_DETECTION	NO_6-DOT	KDB	n/a	n/a
182.032	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
188.551	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
195.051	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
196.067	5.008	LEXICAL_DECISION	WORD	TEMU	n/a	n/a
201.176	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
203.101	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
204.117	5.008	LEXICAL_DECISION	PSEUDOWORD	DET	n/a	n/a
208.656	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
211.151	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
212.167	5.008	LEXICAL_DECISION	WORD	SKOK	n/a	n/a
216.592	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
219.201	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
220.217	5.008	LEXICAL_DECISION	WORD	UKŁAD	n/a	n/a
225.952	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
227.251	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
228.267	5.008	LEXICAL_DECISION	WORD	METKA	n/a	n/a
232.032	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
236.809	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
242.309	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
243.326	5.008	6_DOT_DETECTION	6-DOT	#AL#K	n/a	n/a
244.736	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
250.359	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
251.376	5.008	6_DOT_DETECTION	NO_6-DOT	AYDL	n/a	n/a
253.432	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
258.409	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
259.426	5.008	6_DOT_DETECTION	6-DOT	##ŁK	n/a	n/a
261.312	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
266.459	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
267.476	5.008	6_DOT_DETECTION	6-DOT	E#T#	n/a	n/a
269.096	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
274.508	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
275.526	5.008	6_DOT_DETECTION	NO_6-DOT	CPK	n/a	n/a
277.712	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
284.568	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
290.568	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
291.584	5.008	LEXICAL_DECISION	PSEUDOWORD	MEKLE	n/a	n/a
297.072	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
298.618	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
299.634	5.008	LEXICAL_DECISION	WORD	MYK	n/a	n/a
304.616	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
306.668	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
307.684	5.008	LEXICAL_DECISION	PSEUDOWORD	SABI	n/a	n/a
312.272	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
314.717	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
315.734	5.008	LEXICAL_DECISION	WORD	BIAŁY	n/a	n/a
320.016	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
322.768	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
323.784	5.008	LEXICAL_DECISION	WORD	POBYT	n/a	n/a
328.576	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
332.826	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
338.826	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
339.843	5.008	6_DOT_DETECTION	NO_6-DOT	PŁS	n/a	n/a
341.536	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
346.876	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
347.893	5.008	6_DOT_DETECTION	NO_6-DOT	ETBY	n/a	n/a
351.032	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
354.926	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
355.943	5.008	6_DOT_DETECTION	NO_6-DOT	OKOŁI	n/a	n/a
358.112	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
362.976	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
363.993	5.008	6_DOT_DETECTION	6-DOT	I#T#	n/a	n/a
366.032	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
371.026	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
372.043	5.008	6_DOT_DETECTION	NO_6-DOT	OTŁP	n/a	n/a
374.632	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
380.584	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
386.084	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
387.101	5.008	LEXICAL_DECISION	WORD	SALTO	n/a	n/a
391.696	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
394.134	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
395.151	5.008	LEXICAL_DECISION	WORD	OCTEM	n/a	n/a
400.776	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
402.184	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
403.201	5.008	LEXICAL_DECISION	PSEUDOWORD	SKAPA	n/a	n/a
409.032	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
410.234	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
411.251	5.008	LEXICAL_DECISION	PSEUDOWORD	KUMI	n/a	n/a
416.016	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
418.284	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
419.301	5.008	LEXICAL_DECISION	PSEUDOWORD	KILDU	n/a	n/a
425.256	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
427.843	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
433.343	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
434.36	5.008	6_DOT_DETECTION	6-DOT	#AC#	n/a	n/a
435.712	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
441.393	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
442.41	5.008	6_DOT_DETECTION	6-DOT	O##P	n/a	n/a
444.136	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
449.443	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
450.46	5.008	6_DOT_DETECTION	NO_6-DOT	UDM	n/a	n/a
452.016	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
457.493	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
458.51	5.008	6_DOT_DETECTION	6-DOT	#S#U	n/a	n/a
460.176	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
465.543	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
466.56	5.008	6_DOT_DETECTION	NO_6-DOT	DMTP	n/a	n/a
468.392	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
474.601	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
479.601	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
480.618	5.008	LEXICAL_DECISION	PSEUDOWORD	KIS	n/a	n/a
484.336	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
487.651	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
488.668	5.008	LEXICAL_DECISION	WORD	CAŁY	n/a	n/a
492.992	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
495.701	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
496.718	5.008	LEXICAL_DECISION	PSEUDOWORD	ŁUCA	n/a	n/a
500.632	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
503.751	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
504.768	5.008	LEXICAL_DECISION	WORD	POMYL	n/a	n/a
510.992	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
511.801	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
512.818	5.008	LEXICAL_DECISION	WORD	TLI	n/a	n/a
516.152	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
520.86	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
527.86	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
528.876	5.008	6_DOT_DETECTION	NO_6-DOT	DLMT	n/a	n/a
530.952	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
535.909	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
536.926	5.008	6_DOT_DETECTION	6-DOT	##K	n/a	n/a
538.496	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
543.959	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
544.976	5.008	6_DOT_DETECTION	6-DOT	M##OE	n/a	n/a
547.456	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
552.01	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
553.026	5.008	6_DOT_DETECTION	6-DOT	U##K	n/a	n/a
555.016	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
560.059	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
561.076	5.008	6_DOT_DETECTION	6-DOT	#A#	n/a	n/a
562.176	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
569.618	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
576.118	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
577.135	5.008	LEXICAL_DECISION	PSEUDOWORD	PAKM	n/a	n/a
582.072	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
584.168	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
585.185	5.008	LEXICAL_DECISION	PSEUDOWORD	OTAB	n/a	n/a
590.032	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
592.218	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
593.235	5.008	LEXICAL_DECISION	PSEUDOWORD	OŁUBU	n/a	n/a
599.096	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
600.268	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
601.285	5.008	LEXICAL_DECISION	PSEUDOWORD	DOMET	n/a	n/a
607.032	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
608.318	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
609.335	5.008	LEXICAL_DECISION	PSEUDOWORD	DAS	n/a	n/a
614.536	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
617.877	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
622.377	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
623.393	5.009	6_DOT_DETECTION	NO_6-DOT	ŁOCU	n/a	n/a
625.312	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
630.427	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
631.443	5.008	6_DOT_DETECTION	NO_6-DOT	IMTK	n/a	n/a
633.112	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
638.477	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
639.493	5.008	6_DOT_DETECTION	6-DOT	TSP##	n/a	n/a
642.272	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
646.526	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
647.543	5.008	6_DOT_DETECTION	NO_6-DOT	STDL	n/a	n/a
649.712	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
654.577	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
655.593	5.008	6_DOT_DETECTION	6-DOT	Ł##	n/a	n/a
657.608	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
664.135	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
669.635	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
670.652	5.008	LEXICAL_DECISION	WORD	UCIEC	n/a	n/a
675.848	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
677.685	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
678.702	5.008	LEXICAL_DECISION	WORD	PALM	n/a	n/a
682.552	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
685.734	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
686.752	5.008	LEXICAL_DECISION	WORD	TŁO	n/a	n/a
690.448	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
693.785	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
694.802	5.008	LEXICAL_DECISION	PSEUDOWORD	ŁYB	n/a	n/a
699.368	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
701.834	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
702.852	5.008	LEXICAL_DECISION	PSEUDOWORD	BOŁY	n/a	n/a
708.752	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
710.894	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
715.894	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
716.91	5.008	6_DOT_DETECTION	6-DOT	D#BK#	n/a	n/a
718.512	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
723.944	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
724.96	5.008	6_DOT_DETECTION	6-DOT	TU#K#	n/a	n/a
727.232	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
731.994	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
733.01	5.008	6_DOT_DETECTION	6-DOT	#Y#	n/a	n/a
734.568	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
740.044	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
741.06	5.008	6_DOT_DETECTION	NO_6-DOT	LSŁIP	n/a	n/a
743.032	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
748.093	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
749.11	5.008	6_DOT_DETECTION	NO_6-DOT	UCMB	n/a	n/a
751.248	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
