onset	duration	trial_type	braille_stimulus	targets	response_count
409.863	5.008	6_DOT_DETECTION	UUACO	0	n/a
411.634	n/a	RESPONSE	n/a	n/a	1/0
412.843	n/a	RESPONSE	n/a	n/a	2/0
414.152	n/a	RESPONSE	n/a	n/a	3/0
414.896	1.008	FIXCROSS	n/a	n/a	n/a
415.913	5.008	6_DOT_DETECTION	ADAOD	0	n/a
418.298	n/a	RESPONSE	n/a	n/a	1/0
419.677	n/a	RESPONSE	n/a	n/a	2/0
420.946	1.008	FIXCROSS	n/a	n/a	n/a
421.019	n/a	RESPONSE	n/a	n/a	3/0
421.962	5.009	6_DOT_DETECTION	#MOP#	2	n/a
423.115	n/a	RESPONSE	n/a	n/a	1/2
424.888	n/a	RESPONSE	n/a	n/a	2/2
425.892	n/a	RESPONSE	n/a	n/a	3/2
427.094	n/a	RESPONSE	n/a	n/a	4/2
428.004	2.008	CUE_REST	n/a	n/a	n/a
435.004	1.008	FIXCROSS	n/a	n/a	n/a
441.054	1.008	FIXCROSS	n/a	n/a	n/a
