onset	duration	trial_type	braille_stimulus	targets	response_count
99.699	5.009	6_DOT_DETECTION	MYŁ##	2	n/a
101.0	n/a	RESPONSE	n/a	n/a	1/2
102.984	n/a	RESPONSE	n/a	n/a	2/2
104.733	1.008	FIXCROSS	n/a	n/a	n/a
105.749	5.008	6_DOT_DETECTION	#PSA#	2	n/a
106.8	n/a	RESPONSE	n/a	n/a	1/2
109.464	n/a	RESPONSE	n/a	n/a	2/2
110.783	1.008	FIXCROSS	n/a	n/a	n/a
111.799	5.008	6_DOT_DETECTION	LKCKY	0	n/a
116.833	1.008	FIXCROSS	n/a	n/a	n/a
117.849	5.008	6_DOT_DETECTION	##TYK	2	n/a
118.944	n/a	RESPONSE	n/a	n/a	1/2
120.024	n/a	RESPONSE	n/a	n/a	2/2
122.883	1.008	FIXCROSS	n/a	n/a	n/a
123.899	5.008	6_DOT_DETECTION	L#MSY	1	n/a
125.984	n/a	RESPONSE	n/a	n/a	1/1
130.441	2.008	CUE_REST	n/a	n/a	n/a
136.941	1.008	FIXCROSS	n/a	n/a	n/a
142.991	1.008	FIXCROSS	n/a	n/a	n/a
150.549	2.008	CUE_6_DOT	n/a	n/a	n/a
157.049	1.008	FIXCROSS	n/a	n/a	n/a
158.065	5.009	6_DOT_DETECTION	MEM##	2	n/a
160.24	n/a	RESPONSE	n/a	n/a	1/2
161.48	n/a	RESPONSE	n/a	n/a	2/2
163.099	1.008	FIXCROSS	n/a	n/a	n/a
164.116	5.008	6_DOT_DETECTION	##MAP	2	n/a
165.024	n/a	RESPONSE	n/a	n/a	1/2
166.24	n/a	RESPONSE	n/a	n/a	2/2
169.149	1.008	FIXCROSS	n/a	n/a	n/a
170.166	5.008	6_DOT_DETECTION	ETITU	0	n/a
175.199	1.008	FIXCROSS	n/a	n/a	n/a
176.216	5.008	6_DOT_DETECTION	BB#EU	1	n/a
178.32	n/a	RESPONSE	n/a	n/a	1/1
181.249	1.008	FIXCROSS	n/a	n/a	n/a
182.266	5.008	6_DOT_DETECTION	EASLS	0	n/a
187.299	1.008	FIXCROSS	n/a	n/a	n/a
188.315	5.009	6_DOT_DETECTION	#OKA#	2	n/a
190.504	n/a	RESPONSE	n/a	n/a	1/2
192.104	n/a	RESPONSE	n/a	n/a	2/2
193.349	1.008	FIXCROSS	n/a	n/a	n/a
194.365	5.009	6_DOT_DETECTION	##UDA	2	n/a
195.48	n/a	RESPONSE	n/a	n/a	1/2
196.96	n/a	RESPONSE	n/a	n/a	2/2
199.399	1.008	FIXCROSS	n/a	n/a	n/a
200.415	5.009	6_DOT_DETECTION	PTEIŁ	0	n/a
206.958	2.008	CUE_REST	n/a	n/a	n/a
211.458	1.008	FIXCROSS	n/a	n/a	n/a
217.508	1.008	FIXCROSS	n/a	n/a	n/a
225.566	2.008	CUE_6_DOT	n/a	n/a	n/a
231.566	1.008	FIXCROSS	n/a	n/a	n/a
232.583	5.008	6_DOT_DETECTION	UPU#I	1	n/a
234.84	n/a	RESPONSE	n/a	n/a	1/1
237.616	1.008	FIXCROSS	n/a	n/a	n/a
238.633	5.008	6_DOT_DETECTION	PIUCD	0	n/a
243.666	1.008	FIXCROSS	n/a	n/a	n/a
244.683	5.008	6_DOT_DETECTION	DIP##	2	n/a
246.88	n/a	RESPONSE	n/a	n/a	1/2
247.84	n/a	RESPONSE	n/a	n/a	2/2
249.716	1.008	FIXCROSS	n/a	n/a	n/a
250.733	5.008	6_DOT_DETECTION	#EKS#	2	n/a
251.96	n/a	RESPONSE	n/a	n/a	1/2
254.504	n/a	RESPONSE	n/a	n/a	2/2
255.766	1.008	FIXCROSS	n/a	n/a	n/a
256.783	5.008	6_DOT_DETECTION	AOKEB	0	n/a
261.816	1.008	FIXCROSS	n/a	n/a	n/a
262.833	5.008	6_DOT_DETECTION	KC#UT	1	n/a
264.664	n/a	RESPONSE	n/a	n/a	1/1
267.866	1.008	FIXCROSS	n/a	n/a	n/a
268.883	5.008	6_DOT_DETECTION	#BCCL	1	n/a
269.92	n/a	RESPONSE	n/a	n/a	1/1
273.916	1.008	FIXCROSS	n/a	n/a	n/a
274.933	5.008	6_DOT_DETECTION	#LIS#	2	n/a
275.84	n/a	RESPONSE	n/a	n/a	1/2
278.984	n/a	RESPONSE	n/a	n/a	2/2
281.974	2.008	CUE_REST	n/a	n/a	n/a
285.974	1.008	FIXCROSS	n/a	n/a	n/a
292.024	1.008	FIXCROSS	n/a	n/a	n/a
299.583	2.008	CUE_6_DOT	n/a	n/a	n/a
305.083	1.008	FIXCROSS	n/a	n/a	n/a
306.099	5.008	6_DOT_DETECTION	UTIŁT	0	n/a
311.133	1.008	FIXCROSS	n/a	n/a	n/a
312.149	5.008	6_DOT_DETECTION	YBP#L	1	n/a
314.999	n/a	RESPONSE	n/a	n/a	1/1
317.183	1.008	FIXCROSS	n/a	n/a	n/a
318.199	5.008	6_DOT_DETECTION	I#AE#	2	n/a
319.439	n/a	RESPONSE	n/a	n/a	1/2
321.479	n/a	RESPONSE	n/a	n/a	2/2
323.233	1.008	FIXCROSS	n/a	n/a	n/a
324.249	5.009	6_DOT_DETECTION	U#UDO	1	n/a
325.743	n/a	RESPONSE	n/a	n/a	1/1
329.283	1.008	FIXCROSS	n/a	n/a	n/a
330.299	5.008	6_DOT_DETECTION	L#LAŁ	1	n/a
331.439	n/a	RESPONSE	n/a	n/a	1/1
335.333	1.008	FIXCROSS	n/a	n/a	n/a
336.349	5.008	6_DOT_DETECTION	SPA##	2	n/a
338.599	n/a	RESPONSE	n/a	n/a	1/2
339.783	n/a	RESPONSE	n/a	n/a	2/2
341.383	1.008	FIXCROSS	n/a	n/a	n/a
342.399	5.008	6_DOT_DETECTION	#YUPA	1	n/a
347.433	1.008	FIXCROSS	n/a	n/a	n/a
348.449	5.008	6_DOT_DETECTION	Y#ŁYK	1	n/a
349.759	n/a	RESPONSE	n/a	n/a	1/1
354.491	2.008	CUE_REST	n/a	n/a	n/a
360.491	1.008	FIXCROSS	n/a	n/a	n/a
366.541	1.008	FIXCROSS	n/a	n/a	n/a
373.599	2.008	CUE_6_DOT	n/a	n/a	n/a
378.599	1.008	FIXCROSS	n/a	n/a	n/a
379.616	5.008	6_DOT_DETECTION	DKALL	0	n/a
384.649	1.008	FIXCROSS	n/a	n/a	n/a
385.665	5.009	6_DOT_DETECTION	#KAS#	2	n/a
386.479	n/a	RESPONSE	n/a	n/a	1/2
388.919	n/a	RESPONSE	n/a	n/a	2/2
390.699	1.008	FIXCROSS	n/a	n/a	n/a
391.716	5.008	6_DOT_DETECTION	KTO#D	1	n/a
394.063	n/a	RESPONSE	n/a	n/a	1/1
396.749	1.008	FIXCROSS	n/a	n/a	n/a
397.766	5.008	6_DOT_DETECTION	##DAM	2	n/a
398.783	n/a	RESPONSE	n/a	n/a	1/2
399.999	n/a	RESPONSE	n/a	n/a	2/2
402.799	1.008	FIXCROSS	n/a	n/a	n/a
403.816	5.008	6_DOT_DETECTION	SYMTI	0	n/a
408.849	1.008	FIXCROSS	n/a	n/a	n/a
409.866	5.008	6_DOT_DETECTION	MUŁ##	2	n/a
412.215	n/a	RESPONSE	n/a	n/a	1/2
413.375	n/a	RESPONSE	n/a	n/a	2/2
414.899	1.008	FIXCROSS	n/a	n/a	n/a
415.915	5.009	6_DOT_DETECTION	KSSŁK	0	n/a
420.949	1.008	FIXCROSS	n/a	n/a	n/a
421.966	5.008	6_DOT_DETECTION	BUŁ#I	1	n/a
424.359	n/a	RESPONSE	n/a	n/a	1/1
428.008	2.008	CUE_REST	n/a	n/a	n/a
435.008	1.008	FIXCROSS	n/a	n/a	n/a
441.058	1.008	FIXCROSS	n/a	n/a	n/a
