onset	duration	stim_type	sentence_id	stimulus_text	response_time	answer_index	question_response
304.1436	004.6323	sentence	105	Every day the customer watched over the display for the shopkeeper during lunch.	n/a	n/a	n/a
311.2510	003.1938	sentence	84	The academic wrote to the lobbyist about the politician.	n/a	n/a	n/a
317.4920	003.9079	sentence	48	The family blocked the purchase of their vintage car by the company.	n/a	n/a	n/a
325.1993	003.0759	sentence	103	The customer critiqued the display for the shopkeeper.	n/a	n/a	n/a
332.5484	003.2529	sentence	100	The customer watched over the display for the shopkeeper.	n/a	n/a	n/a
340.8307	006.1126	sentence	99	As a marketing technique the shopkeeper prominently placed the watch on a dedicated stand for customers.	n/a	n/a	n/a
349.2297	005.1211	sentence	51	The stubborn family blocked the purchase of the apartment by the company for six months.	n/a	n/a	n/a
358.4286	004.3897	sentence	15	Every morning the director brought the cameraman to the expensive equipment.	n/a	n/a	n/a
369.4438	004.0279	sentence	96	Each day the shopkeeper displayed the watch to customers in his store.	n/a	n/a	n/a
379.1594	002.5485	sentence	95	The shopkeeper displayed books for customers.	n/a	n/a	n/a
384.6586	002.9582	sentence	11	The director brought the cameraman to his equipment.	n/a	n/a	n/a
392.5409	003.1348	sentence	77	The lobbyist wrote to the newspaper about the reporter.	n/a	n/a	n/a
400.3233	007.1227	sentence	63	With its heightened sensory perception the dog smelled an unusual object near the large group of children at the school.	n/a	n/a	n/a
409.5473	002.9582	sentence	1	The cameraman brought the equipment to the director.	n/a	n/a	n/a
414.6965	006.5523	sentence	18	On the weekend the helpful film director brought the inexperienced cameraman to his equipment in the storeroom.	n/a	n/a	n/a
425.4287	003.3121	sentence	41	The company purchased a valuable painting from the family.	n/a	n/a	n/a
432.4444	003.7881	sentence	49	The family secured the purchase of their apartment by the company.	n/a	n/a	n/a
440.1268	003.3121	sentence	74	The lobbyist wrote to the politician about the journalist.	n/a	n/a	n/a
446.5760	002.6652	sentence	94	The shopkeeper marketed the watch to customers.	n/a	n/a	n/a
452.4752	003.0170	sentence	58	The dog noticed the strange object near the children.	n/a	n/a	n/a
461.5493	004.4502	sentence	7	A team of cameramen brought all the necessary equipment to the busy director.	n/a	n/a	n/a
470.3563	004.0279	sentence	75	The nonprofit organisation wrote to the politician about the reporter.	n/a	n/a	n/a
478.3720	005.3672	sentence	70	The group of children objected to the unpleasant smell of the large black dog from the park.	n/a	n/a	n/a
486.5960	003.1938	sentence	73	The lobbyist wrote to the politician about the reporter.	n/a	n/a	n/a
492.1788	002.4903	sentence	13	The director sold the cameraman's equipment.	n/a	n/a	n/a
