onset	duration	trial_type	category	manner	phoneme1	phoneme2	place	tms_intensity	tms_target	trial	voicing
119.157	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	28	no
119.207	0	stimulus	n/a	n/a	u	p	n/a	n/a	control_lip	n/a	n/a
123.138	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	29	yes
123.188	0	stimulus	n/a	n/a	d	o	n/a	n/a	lip	n/a	n/a
127.155	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	30	yes
127.205	0	stimulus	n/a	n/a	b	i	n/a	n/a	control_lip	n/a	n/a
131.1365	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	31	yes
131.1865	0	stimulus	n/a	n/a	d	e	n/a	n/a	lip	n/a	n/a
135.1365	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	32	no
135.1865	0	stimulus	n/a	n/a	p	o	n/a	n/a	control_lip	n/a	n/a
139.136	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	33	yes
139.186	0	stimulus	n/a	n/a	d	a	n/a	n/a	lip	n/a	n/a
143.136	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	34	yes
143.186	0	stimulus	n/a	n/a	b	e	n/a	n/a	lip	n/a	n/a
147.134	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	35	no
147.184	0	stimulus	n/a	n/a	i	b	n/a	n/a	lip	n/a	n/a
151.1335	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	36	no
151.1835	0	stimulus	n/a	n/a	p	i	n/a	n/a	control_lip	n/a	n/a
155.1325	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	37	yes
155.1825	0	stimulus	n/a	n/a	b	i	n/a	n/a	lip	n/a	n/a
159.132	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	38	no
159.182	0	stimulus	n/a	n/a	i	p	n/a	n/a	lip	n/a	n/a
163.132	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	39	no
163.182	0	stimulus	n/a	n/a	e	t	n/a	n/a	lip	n/a	n/a
167.1325	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	40	no
167.1825	0	stimulus	n/a	n/a	o	d	n/a	n/a	control_lip	n/a	n/a
171.1305	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	41	yes
171.1805	0	stimulus	n/a	n/a	d	a	n/a	n/a	lip	n/a	n/a
175.1475	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	42	yes
175.1975	0	stimulus	n/a	n/a	b	e	n/a	n/a	control_lip	n/a	n/a
179.1465	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	43	no
179.1965	0	stimulus	n/a	n/a	p	a	n/a	n/a	lip	n/a	n/a
183.1475	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	44	no
183.1975	0	stimulus	n/a	n/a	a	p	n/a	n/a	lip	n/a	n/a
187.1285	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	45	no
187.1785	0	stimulus	n/a	n/a	u	d	n/a	n/a	lip	n/a	n/a
191.1455	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	46	no
191.1955	0	stimulus	n/a	n/a	t	a	n/a	n/a	control_lip	n/a	n/a
195.1275	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	47	no
195.1775	0	stimulus	n/a	n/a	e	b	n/a	n/a	lip	n/a	n/a
199.1265	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	48	no
199.1765	0	stimulus	n/a	n/a	o	p	n/a	n/a	control_lip	n/a	n/a
203.142	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	49	no
203.192	0	stimulus	n/a	n/a	t	e	n/a	n/a	control_lip	n/a	n/a
207.142	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	50	no
207.192	0	stimulus	n/a	n/a	a	p	n/a	n/a	lip	n/a	n/a
211.157	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	51	yes
211.207	0	stimulus	n/a	n/a	b	o	n/a	n/a	control_lip	n/a	n/a
215.157	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	52	no
215.207	0	stimulus	n/a	n/a	t	i	n/a	n/a	control_lip	n/a	n/a
219.156	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	53	no
219.206	0	stimulus	n/a	n/a	a	b	n/a	n/a	control_lip	n/a	n/a
223.1385	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	54	no
223.1885	0	stimulus	n/a	n/a	p	o	n/a	n/a	control_lip	n/a	n/a
227.174	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	55	no
227.224	0	stimulus	n/a	n/a	a	d	n/a	n/a	lip	n/a	n/a
231.156	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	56	no
231.206	0	stimulus	n/a	n/a	i	p	n/a	n/a	lip	n/a	n/a
251.219	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	57	no
251.269	0	stimulus	n/a	n/a	o	t	n/a	n/a	lip	n/a	n/a
255.1345	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	58	no
255.1845	0	stimulus	n/a	n/a	t	i	n/a	n/a	lip	n/a	n/a
259.134	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	59	yes
259.184	0	stimulus	n/a	n/a	d	e	n/a	n/a	control_lip	n/a	n/a
263.134	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	60	no
263.184	0	stimulus	n/a	n/a	u	b	n/a	n/a	lip	n/a	n/a
267.133	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	61	no
267.183	0	stimulus	n/a	n/a	o	d	n/a	n/a	lip	n/a	n/a
271.115	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	62	yes
271.165	0	stimulus	n/a	n/a	b	u	n/a	n/a	control_lip	n/a	n/a
275.1495	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	63	no
275.1995	0	stimulus	n/a	n/a	p	e	n/a	n/a	lip	n/a	n/a
279.1315	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	64	no
279.1815	0	stimulus	n/a	n/a	o	p	n/a	n/a	control_lip	n/a	n/a
283.1305	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	65	no
283.1805	0	stimulus	n/a	n/a	i	d	n/a	n/a	lip	n/a	n/a
287.147	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	66	no
287.197	0	stimulus	n/a	n/a	o	p	n/a	n/a	lip	n/a	n/a
291.1465	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	67	no
291.1965	0	stimulus	n/a	n/a	e	p	n/a	n/a	lip	n/a	n/a
295.145	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	68	yes
295.195	0	stimulus	n/a	n/a	b	o	n/a	n/a	lip	n/a	n/a
299.11	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	69	yes
299.16	0	stimulus	n/a	n/a	d	e	n/a	n/a	control_lip	n/a	n/a
303.128	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	70	no
303.178	0	stimulus	n/a	n/a	t	o	n/a	n/a	lip	n/a	n/a
307.127	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	71	no
307.177	0	stimulus	n/a	n/a	a	p	n/a	n/a	lip	n/a	n/a
311.159	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	72	no
311.209	0	stimulus	n/a	n/a	t	a	n/a	n/a	control_lip	n/a	n/a
315.1585	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	73	no
315.2085	0	stimulus	n/a	n/a	e	d	n/a	n/a	control_lip	n/a	n/a
319.157	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	74	no
319.207	0	stimulus	n/a	n/a	i	b	n/a	n/a	control_lip	n/a	n/a
323.1415	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	75	no
323.1915	0	stimulus	n/a	n/a	p	o	n/a	n/a	lip	n/a	n/a
327.1405	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	76	yes
327.1905	0	stimulus	n/a	n/a	b	u	n/a	n/a	control_lip	n/a	n/a
331.14	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	77	no
331.19	0	stimulus	n/a	n/a	i	p	n/a	n/a	control_lip	n/a	n/a
335.14	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	78	no
335.19	0	stimulus	n/a	n/a	u	t	n/a	n/a	lip	n/a	n/a
339.1395	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	79	no
339.1895	0	stimulus	n/a	n/a	o	t	n/a	n/a	lip	n/a	n/a
343.139	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	80	no
343.189	0	stimulus	n/a	n/a	p	i	n/a	n/a	lip	n/a	n/a
347.173	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	81	no
347.223	0	stimulus	n/a	n/a	o	b	n/a	n/a	lip	n/a	n/a
351.1375	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	82	no
351.1875	0	stimulus	n/a	n/a	u	p	n/a	n/a	lip	n/a	n/a
355.1365	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	83	yes
355.1865	0	stimulus	n/a	n/a	b	a	n/a	n/a	control_lip	n/a	n/a
359.153	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	84	yes
359.203	0	stimulus	n/a	n/a	d	a	n/a	n/a	lip	n/a	n/a
363.1495	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	85	no
363.1995	0	stimulus	n/a	n/a	e	d	n/a	n/a	control_lip	n/a	n/a
367.17	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	86	no
367.22	0	stimulus	n/a	n/a	e	t	n/a	n/a	lip	n/a	n/a
371.1345	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	87	no
371.1845	0	stimulus	n/a	n/a	p	a	n/a	n/a	lip	n/a	n/a
375.134	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	88	no
375.184	0	stimulus	n/a	n/a	a	p	n/a	n/a	lip	n/a	n/a
379.1505	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	89	no
379.2005	0	stimulus	n/a	n/a	a	d	n/a	n/a	lip	n/a	n/a
383.1335	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	90	no
383.1835	0	stimulus	n/a	n/a	u	b	n/a	n/a	control_lip	n/a	n/a
387.133	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	91	yes
387.183	0	stimulus	n/a	n/a	d	u	n/a	n/a	lip	n/a	n/a
391.133	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	92	no
391.183	0	stimulus	n/a	n/a	i	p	n/a	n/a	control_lip	n/a	n/a
395.131	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	93	no
395.181	0	stimulus	n/a	n/a	o	t	n/a	n/a	lip	n/a	n/a
399.131	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	94	no
399.181	0	stimulus	n/a	n/a	e	d	n/a	n/a	lip	n/a	n/a
403.13	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	95	no
403.18	0	stimulus	n/a	n/a	t	o	n/a	n/a	lip	n/a	n/a
407.13	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	96	yes
407.18	0	stimulus	n/a	n/a	d	u	n/a	n/a	lip	n/a	n/a
411.1455	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	97	no
411.1955	0	stimulus	n/a	n/a	p	i	n/a	n/a	lip	n/a	n/a
415.1285	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	98	no
415.1785	0	stimulus	n/a	n/a	t	o	n/a	n/a	lip	n/a	n/a
419.1435	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	99	yes
419.1935	0	stimulus	n/a	n/a	d	u	n/a	n/a	lip	n/a	n/a
423.144	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	100	no
423.194	0	stimulus	n/a	n/a	i	b	n/a	n/a	lip	n/a	n/a
427.1425	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	101	yes
427.1925	0	stimulus	n/a	n/a	b	e	n/a	n/a	lip	n/a	n/a
431.126	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	102	no
431.176	0	stimulus	n/a	n/a	p	e	n/a	n/a	lip	n/a	n/a
435.142	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	103	yes
435.192	0	stimulus	n/a	n/a	d	o	n/a	n/a	control_lip	n/a	n/a
439.1415	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	104	no
439.1915	0	stimulus	n/a	n/a	e	b	n/a	n/a	lip	n/a	n/a
443.1415	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	105	no
443.1915	0	stimulus	n/a	n/a	t	u	n/a	n/a	lip	n/a	n/a
447.1395	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	106	no
447.1895	0	stimulus	n/a	n/a	i	t	n/a	n/a	lip	n/a	n/a
451.1385	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	107	no
451.1885	0	stimulus	n/a	n/a	e	p	n/a	n/a	control_lip	n/a	n/a
455.1385	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	108	no
455.1885	0	stimulus	n/a	n/a	o	b	n/a	n/a	lip	n/a	n/a
459.1385	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	109	no
459.1885	0	stimulus	n/a	n/a	t	e	n/a	n/a	lip	n/a	n/a
463.172	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	110	no
463.222	0	stimulus	n/a	n/a	u	d	n/a	n/a	lip	n/a	n/a
467.1365	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	111	yes
467.1865	0	stimulus	n/a	n/a	b	o	n/a	n/a	lip	n/a	n/a
471.1365	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	112	no
471.1865	0	stimulus	n/a	n/a	e	p	n/a	n/a	lip	n/a	n/a
475.136	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	113	no
475.186	0	stimulus	n/a	n/a	p	a	n/a	n/a	lip	n/a	n/a
479.1355	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	114	no
479.1855	0	stimulus	n/a	n/a	a	b	n/a	n/a	control_lip	n/a	n/a
483.1355	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	115	no
483.1855	0	stimulus	n/a	n/a	a	t	n/a	n/a	control_lip	n/a	n/a
487.1345	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	116	no
487.1845	0	stimulus	n/a	n/a	t	u	n/a	n/a	lip	n/a	n/a
718.3185	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	117	no
718.3685	0	stimulus	n/a	n/a	a	b	n/a	n/a	lip	n/a	n/a
722.3165	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	118	no
722.3665	0	stimulus	n/a	n/a	a	t	n/a	n/a	lip	n/a	n/a
726.312	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	119	no
726.362	0	stimulus	n/a	n/a	u	p	n/a	n/a	control_lip	n/a	n/a
730.315	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	120	yes
730.365	0	stimulus	n/a	n/a	d	o	n/a	n/a	lip	n/a	n/a
734.298	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	121	no
734.348	0	stimulus	n/a	n/a	e	p	n/a	n/a	lip	n/a	n/a
738.314	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	122	no
738.364	0	stimulus	n/a	n/a	u	t	n/a	n/a	control_lip	n/a	n/a
742.3315	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	123	no
742.3815	0	stimulus	n/a	n/a	t	e	n/a	n/a	lip	n/a	n/a
746.311	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	124	no
746.361	0	stimulus	n/a	n/a	a	p	n/a	n/a	control_lip	n/a	n/a
750.329	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	125	no
750.379	0	stimulus	n/a	n/a	t	a	n/a	n/a	lip	n/a	n/a
754.311	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	126	no
754.361	0	stimulus	n/a	n/a	p	u	n/a	n/a	control_lip	n/a	n/a
758.3435	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	127	no
758.3935	0	stimulus	n/a	n/a	t	u	n/a	n/a	control_lip	n/a	n/a
762.3275	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	128	no
762.3775	0	stimulus	n/a	n/a	i	d	n/a	n/a	lip	n/a	n/a
766.36	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	129	no
766.41	0	stimulus	n/a	n/a	e	b	n/a	n/a	lip	n/a	n/a
770.3095	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	130	yes
770.3595	0	stimulus	n/a	n/a	b	a	n/a	n/a	lip	n/a	n/a
774.3435	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	131	no
774.3935	0	stimulus	n/a	n/a	e	d	n/a	n/a	lip	n/a	n/a
778.3425	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	132	no
778.3925	0	stimulus	n/a	n/a	a	b	n/a	n/a	lip	n/a	n/a
782.309	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	133	no
782.359	0	stimulus	n/a	n/a	p	a	n/a	n/a	control_lip	n/a	n/a
786.3235	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	134	yes
786.3735	0	stimulus	n/a	n/a	d	o	n/a	n/a	lip	n/a	n/a
790.323	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	135	yes
790.373	0	stimulus	n/a	n/a	b	u	n/a	n/a	lip	n/a	n/a
794.3055	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	136	no
794.3555	0	stimulus	n/a	n/a	a	b	n/a	n/a	lip	n/a	n/a
798.322	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	137	no
798.372	0	stimulus	n/a	n/a	a	t	n/a	n/a	lip	n/a	n/a
802.338	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	138	no
802.388	0	stimulus	n/a	n/a	p	o	n/a	n/a	control_lip	n/a	n/a
806.3545	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	139	no
806.4045	0	stimulus	n/a	n/a	u	d	n/a	n/a	lip	n/a	n/a
810.337	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	140	yes
810.387	0	stimulus	n/a	n/a	d	i	n/a	n/a	lip	n/a	n/a
814.303	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	141	no
814.353	0	stimulus	n/a	n/a	i	b	n/a	n/a	lip	n/a	n/a
818.336	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	142	no
818.386	0	stimulus	n/a	n/a	t	a	n/a	n/a	lip	n/a	n/a
822.3185	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	143	yes
822.3685	0	stimulus	n/a	n/a	b	a	n/a	n/a	lip	n/a	n/a
826.3185	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	144	no
826.3685	0	stimulus	n/a	n/a	e	t	n/a	n/a	control_lip	n/a	n/a
830.3345	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	145	yes
830.3845	0	stimulus	n/a	n/a	d	o	n/a	n/a	lip	n/a	n/a
834.3345	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	146	no
834.3845	0	stimulus	n/a	n/a	o	d	n/a	n/a	lip	n/a	n/a
838.3	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	147	yes
838.35	0	stimulus	n/a	n/a	b	a	n/a	n/a	lip	n/a	n/a
842.3325	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	148	no
842.3825	0	stimulus	n/a	n/a	t	o	n/a	n/a	control_lip	n/a	n/a
846.315	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	149	no
846.365	0	stimulus	n/a	n/a	e	d	n/a	n/a	lip	n/a	n/a
850.314	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	150	no
850.364	0	stimulus	n/a	n/a	i	p	n/a	n/a	lip	n/a	n/a
854.3125	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	151	yes
854.3625	0	stimulus	n/a	n/a	d	i	n/a	n/a	control_lip	n/a	n/a
858.313	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	152	yes
858.363	0	stimulus	n/a	n/a	b	u	n/a	n/a	lip	n/a	n/a
862.3125	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	153	no
862.3625	0	stimulus	n/a	n/a	p	u	n/a	n/a	lip	n/a	n/a
866.312	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	154	yes
866.362	0	stimulus	n/a	n/a	b	u	n/a	n/a	lip	n/a	n/a
870.3115	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	155	yes
870.3615	0	stimulus	n/a	n/a	d	e	n/a	n/a	lip	n/a	n/a
874.3105	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	156	no
874.3605	0	stimulus	n/a	n/a	o	b	n/a	n/a	control_lip	n/a	n/a
878.3105	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	157	no
878.3605	0	stimulus	n/a	n/a	o	d	n/a	n/a	lip	n/a	n/a
882.31	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	158	no
882.36	0	stimulus	n/a	n/a	p	i	n/a	n/a	control_lip	n/a	n/a
886.3095	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	159	yes
886.3595	0	stimulus	n/a	n/a	b	o	n/a	n/a	lip	n/a	n/a
890.31	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	160	no
890.36	0	stimulus	n/a	n/a	o	t	n/a	n/a	control_lip	n/a	n/a
894.342	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	161	no
894.392	0	stimulus	n/a	n/a	u	b	n/a	n/a	lip	n/a	n/a
898.341	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	162	no
898.391	0	stimulus	n/a	n/a	o	t	n/a	n/a	lip	n/a	n/a
902.3085	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	163	no
902.3585	0	stimulus	n/a	n/a	p	e	n/a	n/a	control_lip	n/a	n/a
906.324	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	164	yes
906.374	0	stimulus	n/a	n/a	d	i	n/a	n/a	lip	n/a	n/a
