onset	duration	event_type	recipient	selfpay	recipientpay	button
651.74	0	Payoff	Nurse	15	9	R
657.14	0	Choice	Nurse	15	9	R
660.14	0	Fixation	Farmer	6	14	L
664.15	2.66	Recipient	Farmer	6	14	L
666.80	0	Payoff	Farmer	6	14	L
671.57	0	Choice	Farmer	6	14	L
674.58	0	Fixation	Japanese	14	6	R
676.58	2.65	Recipient	Japanese	14	6	R
679.24	0	Payoff	Japanese	14	6	R
684.26	0	Choice	Japanese	14	6	R
687.27	0	Fixation	Accountant	15	15	L
689.27	2.66	Recipient	Accountant	15	15	L
691.93	0	Payoff	Accountant	15	15	L
697.20	0	Choice	Accountant	15	15	L
700.20	0	Fixation	Drugaddiction	5	5	L
708.21	2.66	Recipient	Drugaddiction	5	5	L
710.86	0	Payoff	Drugaddiction	5	5	L
715.91	0	Choice	Drugaddiction	5	5	L
718.92	0	Fixation	Homeless	14	6	R
722.93	2.65	Recipient	Homeless	14	6	R
725.58	0	Payoff	Homeless	14	6	R
730.69	0	Choice	Homeless	14	6	R
733.69	0	Fixation	Jewish	14	6	R
736.70	2.65	Recipient	Jewish	14	6	R
739.35	0	Payoff	Jewish	14	6	R
746.95	0	Choice	Jewish	14	6	R
749.96	0	Fixation	Drugaddiction	14	6	L
752.96	2.66	Recipient	Drugaddiction	14	6	L
755.62	0	Payoff	Drugaddiction	14	6	L
760.74	0	Choice	Drugaddiction	14	6	L
763.75	0	Fixation	PrisonInmate	6	14	R
765.75	2.65	Recipient	PrisonInmate	6	14	R
768.41	0	Payoff	PrisonInmate	6	14	R
773.77	0	Choice	PrisonInmate	6	14	R
776.78	0	Fixation	Surgeon	15	15	L
786.78	2.66	Recipient	Surgeon	15	15	L
789.44	0	Payoff	Surgeon	15	15	L
794.87	0	Choice	Surgeon	15	15	L
797.88	0	Fixation	Greek	5	20	R
800.89	2.65	Recipient	Greek	5	20	R
803.54	0	Payoff	Greek	5	20	R
810.08	0	Choice	Greek	5	20	R
813.09	0	Fixation	Greek	15	15	R
822.09	2.65	Recipient	Greek	15	15	R
824.74	0	Payoff	Greek	15	15	R
829.74	0	Choice	Greek	15	15	R
832.75	0	Fixation	PrisonInmate	15	9	L
835.75	2.65	Recipient	PrisonInmate	15	9	L
838.40	0	Payoff	PrisonInmate	15	9	L
843.52	0	Choice	PrisonInmate	15	9	L
846.53	0	Fixation	Surgeon	5	5	R
849.54	2.65	Recipient	Surgeon	5	5	R
852.19	0	Payoff	Surgeon	5	5	R
857.60	0	Choice	Surgeon	5	5	R
860.61	0	Fixation	Irish	9	15	R
863.61	2.65	Recipient	Irish	9	15	R
866.26	0	Payoff	Irish	9	15	R
872.00	0	Choice	Irish	9	15	R
875.01	0	Fixation	Japanese	5	20	R
878.01	2.65	Recipient	Japanese	5	20	R
880.67	0	Payoff	Japanese	5	20	R
885.76	0	Choice	Japanese	5	20	R
888.77	0	Fixation	Mentaldisability	14	6	R
899.78	2.66	Recipient	Mentaldisability	14	6	R
902.43	0	Payoff	Mentaldisability	14	6	R
908.16	0	Choice	Mentaldisability	14	6	R
911.17	0	Fixation	Nurse	20	5	R
914.17	2.65	Recipient	Nurse	20	5	R
916.83	0	Payoff	Nurse	20	5	R
922.36	0	Choice	Nurse	20	5	R
925.37	0	Fixation	Olympicathlete	15	15	L
928.38	2.65	Recipient	Olympicathlete	15	15	L
931.03	0	Payoff	Olympicathlete	15	15	L
936.80	0	Choice	Olympicathlete	15	15	L
939.81	0	Fixation	British	15	15	R
942.81	2.66	Recipient	British	15	15	R
945.47	0	Payoff	British	15	15	R
950.11	0	Choice	British	15	15	R
953.12	0	Fixation	Stay-at-homeparent	15	15	R
957.12	2.66	Recipient	Stay-at-homeparent	15	15	R
959.78	0	Payoff	Stay-at-homeparent	15	15	R
964.63	0	Choice	Stay-at-homeparent	15	15	R
967.64	0	Fixation	Olympicathlete	5	5	R
969.64	2.65	Recipient	Olympicathlete	5	5	R
972.30	0	Payoff	Olympicathlete	5	5	R
977.43	0	Choice	Olympicathlete	5	5	R
980.44	0	Fixation	Nurse	6	14	L
983.44	2.65	Recipient	Nurse	6	14	L
986.10	0	Payoff	Nurse	6	14	L
991.21	0	Choice	Nurse	6	14	L
994.22	0	Fixation	Surgeon	14	6	R
997.22	2.66	Recipient	Surgeon	14	6	R
999.88	0	Payoff	Surgeon	14	6	R
1004.94	0	Choice	Surgeon	14	6	R
1007.95	0	Fixation	Mentaldisability	5	5	R
1011.95	2.66	Recipient	Mentaldisability	5	5	R
1014.61	0	Payoff	Mentaldisability	5	5	R
1019.81	0	Choice	Mentaldisability	5	5	R
1022.82	0	Fixation	Drugaddiction	9	15	R
1024.82	2.66	Recipient	Drugaddiction	9	15	R
1027.48	0	Payoff	Drugaddiction	9	15	R
1032.62	0	Choice	Drugaddiction	9	15	R
1035.63	0	Fixation	Japanese	15	15	L
1038.63	2.65	Recipient	Japanese	15	15	L
1041.29	0	Payoff	Japanese	15	15	L
1046.66	0	Choice	Japanese	15	15	L
1049.67	0	Fixation	Elderly	14	6	R
1051.68	2.66	Recipient	Elderly	14	6	R
1054.33	0	Payoff	Elderly	14	6	R
1059.43	0	Choice	Elderly	14	6	R
1062.44	0	Fixation	Mentaldisability	6	14	L
1066.45	2.65	Recipient	Mentaldisability	6	14	L
1069.10	0	Payoff	Mentaldisability	6	14	L
1074.45	0	Choice	Mentaldisability	6	14	L
1077.46	0	Fixation	Welfarerecipient	9	15	R
1088.47	2.66	Recipient	Welfarerecipient	9	15	R
1091.12	0	Payoff	Welfarerecipient	9	15	R
1096.96	0	Choice	Welfarerecipient	9	15	R
1099.97	0	Fixation	Farmer	15	15	L
1101.98	2.65	Recipient	Farmer	15	15	L
1104.63	0	Payoff	Farmer	15	15	L
1109.51	0	Choice	Farmer	15	15	L
1112.51	0	Fixation	Elderly	9	15	L
1115.52	2.65	Recipient	Elderly	9	15	L
1118.17	0	Payoff	Elderly	9	15	L
1123.44	0	Choice	Elderly	9	15	L
1126.45	0	Fixation	Stay-at-homeparent	14	6	R
1138.45	2.66	Recipient	Stay-at-homeparent	14	6	R
1141.11	0	Payoff	Stay-at-homeparent	14	6	R
1146.07	0	Choice	Stay-at-homeparent	14	6	R
1149.08	0	Fixation	Welfarerecipient	5	20	R
1152.08	2.66	Recipient	Welfarerecipient	5	20	R
1154.74	0	Payoff	Welfarerecipient	5	20	R
1160.01	0	Choice	Welfarerecipient	5	20	R
1163.02	0	Fixation	Stay-at-homeparent	20	5	R
1166.02	2.65	Recipient	Stay-at-homeparent	20	5	R
1168.68	0	Payoff	Stay-at-homeparent	20	5	R
1174.11	0	Choice	Stay-at-homeparent	20	5	R
1177.12	0	Fixation	Japanese	6	14	R
1180.12	2.66	Recipient	Japanese	6	14	R
1182.77	0	Payoff	Japanese	6	14	R
1187.95	0	Choice	Japanese	6	14	R
1190.96	0	Fixation	Olympicathlete	14	6	R
1193.96	2.65	Recipient	Olympicathlete	14	6	R
1196.62	0	Payoff	Olympicathlete	14	6	R
1201.93	0	Choice	Olympicathlete	14	6	R
