onset	duration	stim_onset_s_	stim_dur_s_	type	trial_type	stim_file
n/a	n/a	220.50396625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	221.52734375	n/a	Response	right	n/a
225.58618025	0.384021	223.53515625	2.456077	Sound	NPC	NPC_coat.wav
n/a	n/a	227.99123325	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	229	n/a	Response	right	n/a
233.12856575	0.436546	231.01171875	2.593084	Sound	NPI	NPI_bite(north).wav
n/a	n/a	235.60480275	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	236.583984375	n/a	Response	left	n/a
240.218499625	0.540456	238.587890625	2.206281	Sound	NPI	NPI_dancers(pirate).wav
n/a	n/a	242.794171625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	244.50390625	n/a	Response	left	n/a
n/a	n/a	245.50390625	5.308549	Picture-Sound	break	(Audio_02)DoYouWantToTakeABreak.wav
249.286553	0.498766	247.890625	1.906168	Sound	NPC	NPC_gills.wav
n/a	n/a	251.796793	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	253.263671875	n/a	Response	right	n/a
257.767181125	0.308974	255.267578125	2.864286	Sound	NPC	NPC_bath.wav
n/a	n/a	260.131864125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	261.119140625	n/a	Response	right	n/a
264.51258725	0.378391	263.12890625	1.806825	Sound	NPC	NPC_pink.wav
n/a	n/a	266.93573125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	267.837890625	n/a	Response	right	n/a
271.469860625	0.482403	269.853515625	2.127188	Sound	NPC	NPC_sun.wav
n/a	n/a	273.980703625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	274.94140625	n/a	Response	right	n/a
279.601379625	0.390208	276.947265625	3.102449	Sound	NPI	NPI_bed(frog).wav
n/a	n/a	282.049714625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	282.89453125	n/a	Response	left	n/a
286.658071	0.540359	284.90625	2.326984	Sound	NPC	NPC_crafts.wav
n/a	n/a	289.233234	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	290.830078125	n/a	Response	right	n/a
294.231088375	0.461787	292.833984375	1.885714	Sound	NPI	NPI_gills(doll).wav
n/a	n/a	296.719698375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	298.30078125	n/a	Response	left	n/a
302.580006875	0.456741	300.310546875	2.755374	Sound	NPI	NPI_game(coal).wav
n/a	n/a	305.065920875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	306.26953125	n/a	Response	left	n/a
310.4776975	0.420482	308.2890625	2.644127	Sound	NPI	NPI_bread(sea).wav
n/a	n/a	312.9331895	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	313.708984375	n/a	Response	left	n/a
318.45802375	0.408608	315.71484375	3.206327	Sound	NPC	NPC_wind.wav
n/a	n/a	320.92117075	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	321.7890625	n/a	Response	right	n/a
325.92805075	0.531957	323.80859375	2.689274	Sound	NPC	NPC_flat.wav
n/a	n/a	328.49786775	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	329.67578125	n/a	Response	right	n/a
333.254501875	0.490069	331.685546875	2.08619	Sound	NPC	NPC_crown.wav
n/a	n/a	335.771736875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	336.31640625	n/a	Response	right	n/a
340.430783	0.41799	338.328125	2.558277	Sound	NPC	NPC_ghosts.wav
n/a	n/a	342.886402	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	343.373046875	n/a	Response	right	n/a
347.935344875	0.559157	345.388671875	3.139864	Sound	NPC	NPC_cheese.wav
n/a	n/a	350.528535875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	351.00390625	n/a	Response	right	n/a
355.69011	0.422896	353.015625	3.138571	Sound	NPC	NPC_barn.wav
n/a	n/a	358.154196	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	359.451171875	n/a	Response	right	n/a
363.037127375	0.443955	361.458984375	2.035125	Sound	NPC	NPC_nests.wav
n/a	n/a	365.494109375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	366.36328125	n/a	Response	right	n/a
370.757089625	0.444593	368.369140625	2.871678	Sound	NPI	NPI_desk(ice).wav
n/a	n/a	373.240818625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	374.060546875	n/a	Response	left	n/a
378.709014	0.361489	376.078125	3.04483	Sound	NPI	NPI_bow(eye).wav
n/a	n/a	381.122955	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	381.8984375	n/a	Response	left	n/a
386.361281	0.457637	383.90625	2.942426	Sound	NPC	NPC_string.wav
n/a	n/a	388.848676	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	390.01171875	n/a	Response	right	n/a
393.834428125	0.50724	392.017578125	2.362449	Sound	NPC	NPC_goose.wav
n/a	n/a	396.380027125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	397.115234375	n/a	Response	right	n/a
n/a	n/a	398.115234375	5.308549	Picture-Sound	break	(Audio_02)DoYouWantToTakeABreak.wav
402.997053375	0.360944	400.865234375	2.519546	Sound	NPC	NPC_wear.wav
n/a	n/a	405.384780375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	406.314453125	n/a	Response	right	n/a
411.02327375	0.330579	408.32421875	3.086893	Sound	NPC	NPC_belt.wav
n/a	n/a	413.41111175	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	414.6015625	n/a	Response	right	n/a
418.739669625	0.387174	416.619140625	2.516213	Sound	NPI	NPI_gold(fridge).wav
n/a	n/a	421.135353625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	421.994140625	n/a	Response	left	n/a
425.75398475	0.341451	424.01171875	2.115034	Sound	NPC	NPC_clock.wav
n/a	n/a	428.12675275	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	429.2109375	n/a	Response	right	n/a
433.46660125	0.447638	431.22265625	2.721451	Sound	NPI	NPI_bushes(oven).wav
n/a	n/a	435.94410725	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	436.74609375	n/a	Response	left	n/a
441.16626	0.380152	438.765625	2.857483	Sound	NPC	NPC_desk.wav
n/a	n/a	443.623108	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	444.13671875	n/a	Response	right	n/a
448.724457125	0.369396	446.142578125	2.967596	Sound	NPC	NPC_bus.wav
n/a	n/a	451.110174125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	452.056640625	n/a	Response	right	n/a
456.667760375	0.478939	454.068359375	3.108073	Sound	NPC	NPC_axe.wav
n/a	n/a	459.176432375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	460.28125	n/a	Response	right	n/a
464.251949	0.544155	462.296875	2.562449	Sound	NPC	NPC_cages.wav
n/a	n/a	466.859324	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	467.640625	n/a	Response	right	n/a
472.999364	0.469265	469.65625	3.84195	Sound	NPI	NPI_broke(pond).wav
n/a	n/a	475.4982	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	476.248046875	n/a	Response	left	n/a
481.385204125	0.43075	478.267578125	3.578784	Sound	NPC	NPC_bake.wav
n/a	n/a	483.846362125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	484.583984375	n/a	Response	right	n/a
488.100492125	0.435791	486.595703125	1.945465	Sound	NPI	NPI_fur(dad).wav
n/a	n/a	490.541168125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	491.544921875	n/a	Response	left	n/a
496.6008685	0.682588	493.5546875	3.767415	Sound	NPI	NPI_animals(trampoline).wav
n/a	n/a	499.3221025	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	500.18359375	n/a	Response	left	n/a
504.95273775	0.482343	502.19921875	3.282404	Sound	NPI	NPI_ants(fish).wav
n/a	n/a	507.48162275	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	508.423828125	n/a	Response	left	n/a
513.026161375	0.300176	510.443359375	2.91288	Sound	NPI	NPI_dust(cook).wav
n/a	n/a	515.356239375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	516.80859375	n/a	Response	left	n/a
521.242083625	0.359032	518.822265625	2.81873	Sound	NPI	NPI_cop(cake).wav
n/a	n/a	523.640995625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	524.359375	n/a	Response	left	n/a
527.772591375	0.613138	526.365234375	2.057483	Sound	NPI	NPI_cat(spray).wav
n/a	n/a	530.422717375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	531.19140625	n/a	Response	left	n/a
535.28896925	0.422825	533.20703125	2.535918	Sound	NPI	NPI_hair(nest).wav
n/a	n/a	537.74294925	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	538.599609375	n/a	Response	left	n/a
543.6953995	0.435957	540.6171875	3.532766	Sound	NPI	NPI_whales(dress).wav
n/a	n/a	546.1499535	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	546.966796875	n/a	Response	left	n/a
550.828685625	0.407971	548.978515625	2.309637	Sound	NPI	NPI_one(cold).wav
n/a	n/a	553.288152625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	554.599609375	n/a	Response	left	n/a
n/a	n/a	555.599609375	5.308549	Picture-Sound	break	(Audio_02)DoYouWantToTakeABreak.wav
559.455193875	0.41044	557.294921875	2.610635	Sound	NPC	NPC_nice.wav
n/a	n/a	561.905556875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	562.58984375	n/a	Response	right	n/a
566.769006625	0.392814	564.603515625	2.598163	Sound	NPI	NPI_dolls(worm).wav
n/a	n/a	569.201678625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	569.7421875	n/a	Response	left	n/a
574.32299175	0.613258	571.74609375	3.213515	Sound	NPI	NPI_button(hotdog).wav
n/a	n/a	576.95960875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	577.806640625	n/a	Response	left	n/a
583.05034075	0.383707	579.82421875	3.62932	Sound	NPI	NPI_couch(bulb).wav
n/a	n/a	585.45353875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	587.197265625	n/a	Response	left	n/a
590.552274	0.469821	589.203125	1.877937	Sound	NPI	NPI_bird(thorn).wav
n/a	n/a	593.081062	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	593.7890625	n/a	Response	left	n/a
597.959978875	0.343005	595.794921875	2.541905	Sound	NPC	NPC_car.wav
n/a	n/a	600.336826875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	600.91015625	n/a	Response	right	n/a
605.401112	0.394972	602.921875	2.915578	Sound	NPI	NPI_bath(roar).wav
n/a	n/a	607.837453	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	608.4765625	n/a	Response	left	n/a
612.228315875	0.316598	610.482421875	2.096145	Sound	NPI	NPI_clothes(bite).wav
n/a	n/a	614.578566875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	615.64453125	n/a	Response	left	n/a
620.242415125	0.268035	617.658203125	2.879252	Sound	NPI	NPI_bus(egg).wav
n/a	n/a	622.537455125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	623.1484375	n/a	Response	left	n/a
626.84707775	0.452077	625.16796875	2.157755	Sound	NPC	NPC_steal.wav
n/a	n/a	629.32572375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	630.140625	n/a	Response	right	n/a
634.61676825	0.412427	632.16015625	2.922789	Sound	NPI	NPI_truck(cap).wav
n/a	n/a	637.08294525	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	637.693359375	n/a	Response	left	n/a
641.078503	0.399132	639.703125	1.822358	Sound	NPC	NPC_trees.wav
n/a	n/a	643.525483	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	644.109375	n/a	Response	right	n/a
648.79696325	0.520484	646.11328125	3.232404	Sound	NPI	NPI_fat(glass).wav
n/a	n/a	651.34568525	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	652.701171875	n/a	Response	left	n/a
656.83571325	0.342488	654.70703125	2.498163	Sound	NPI	NPI_dice(art).wav
n/a	n/a	659.20519425	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	659.8046875	n/a	Response	left	n/a
664.33306925	0.344771	661.81640625	2.905283	Sound	NPI	NPI_fist(bath).wav
n/a	n/a	666.72168925	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	667.548828125	n/a	Response	left	n/a
672.904632875	0.411024	669.560546875	3.791111	Sound	NPC	NPC_broke.wav
n/a	n/a	675.351657875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	675.99609375	n/a	Response	right	n/a
679.713076375	0.390269	678.005859375	2.12458	Sound	NPC	NPC_three.wav
n/a	n/a	682.130439375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	682.890625	n/a	Response	right	n/a
686.5926485	0.448244	684.8984375	2.188277	Sound	NPC	NPC_eyes.wav
n/a	n/a	689.0867145	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	689.802734375	n/a	Response	right	n/a
693.343956625	0.503524	691.806640625	2.073605	Sound	NPI	NPI_cribs(shot).wav
n/a	n/a	695.880245625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	696.939453125	n/a	Response	left	n/a
700.52476275	0.343232	698.94921875	1.937052	Sound	NPC	NPC_catch.wav
n/a	n/a	702.88627075	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	703.611328125	n/a	Response	right	n/a
n/a	n/a	704.611328125	5.308549	Picture-Sound	break	(Audio_02)DoYouWantToTakeABreak.wav
708.80547075	0.350495	706.74609375	2.437846	Sound	NPC	NPC_goat.wav
n/a	n/a	711.18393975	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	716.5390625	n/a	Response	right	n/a
721.159844875	0.337446	718.544921875	3.008617	Sound	NPI	NPI_clouds(dirt).wav
n/a	n/a	723.553538875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	725.017578125	n/a	Response	left	n/a
728.6337235	0.471301	727.0234375	2.119048	Sound	NPI	NPI_sun(lunch).wav
n/a	n/a	731.1424855	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	732.21875	n/a	Response	left	n/a
736.777603875	0.448917	734.232421875	3.070045	Sound	NPC	NPC_chest.wav
n/a	n/a	739.302466875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	739.642578125	n/a	Response	right	n/a
744.87199625	0.558239	741.66015625	3.803991	Sound	NPI	NPI_apple(balloon).wav
n/a	n/a	747.46414725	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	747.994140625	n/a	Response	left	n/a
752.45858025	0.447989	750.00390625	2.912381	Sound	NPI	NPI_string(chick).wav
n/a	n/a	754.91628725	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	755.833984375	n/a	Response	left	n/a
759.79880425	0.500785	757.84765625	2.487937	Sound	NPI	NPI_walk(class).wav
n/a	n/a	762.33559325	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	762.921875	n/a	Response	left	n/a
766.50624125	0.378504	764.94140625	1.97322	Sound	NPC	NPC_bridge.wav
n/a	n/a	768.91462625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	771.400390625	n/a	Response	right	n/a
775.36756275	0.423467	773.41796875	2.40381	Sound	NPI	NPI_goal(hair).wav
n/a	n/a	777.82177875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	778.408203125	n/a	Response	left	n/a
783.441917375	0.398134	780.427734375	3.455692	Sound	NPC	NPC_lie.wav
n/a	n/a	785.883426375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	786.48828125	n/a	Response	right	n/a
790.286271375	0.313532	788.505859375	2.119955	Sound	NPC	NPC_bulb.wav
n/a	n/a	792.625814375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	793.576171875	n/a	Response	right	n/a
797.03925725	0.435062	795.58203125	1.921655	Sound	NPC	NPC_fast.wav
n/a	n/a	799.50368625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	800.087890625	n/a	Response	right	n/a
803.524178875	0.480093	802.107421875	1.912789	Sound	NPC	NPC_cow.wav
n/a	n/a	806.020210875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	806.376953125	n/a	Response	right	n/a
811.0167455	0.305293	808.3828125	2.988299	Sound	NPC	NPC_bed.wav
n/a	n/a	813.3711115	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	814.376953125	n/a	Response	right	n/a
818.548853125	0.40445	816.392578125	2.60254	Sound	NPC	NPC_down.wav
n/a	n/a	820.995118125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	823.3046875	n/a	Response	right	n/a
827.3121755	0.558529	825.3203125	2.583084	Sound	NPI	NPI_bloom(school).wav
n/a	n/a	829.9033965	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	830.630859375	n/a	Response	left	n/a
834.9050815	0.389545	832.6484375	2.675624	Sound	NPC	NPC_game.wav
n/a	n/a	837.3240615	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	837.943359375	n/a	Response	right	n/a
842.50955925	0.43686	839.95703125	3.018027	Sound	NPC	NPC_round.wav
n/a	n/a	844.97505825	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	845.671875	n/a	Response	right	n/a
849.32504975	0.448067	847.68359375	2.109025	Sound	NPI	NPI_job(pants).wav
n/a	n/a	851.79261875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	852.7109375	n/a	Response	left	n/a
856.9174035	0.393995	854.7265625	2.638143	Sound	NPC	NPC_dolls.wav
n/a	n/a	859.3647055	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	860.263671875	n/a	Response	right	n/a
n/a	n/a	861.263671875	5.308549	Picture-Sound	break	(Audio_02)DoYouWantToTakeABreak.wav
865.720118625	0.341395	863.525390625	2.556939	Sound	NPI	NPI_fear(walk).wav
n/a	n/a	868.082329625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	869.71875	n/a	Response	left	n/a
874.423340125	0.436909	871.736328125	3.154195	Sound	NPI	NPI_store(stick).wav
n/a	n/a	876.890523125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	877.55859375	n/a	Response	left	n/a
881.644434	0.468781	879.5625	2.579665	Sound	NPC	NPC_blocks.wav
n/a	n/a	884.142165	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	884.88671875	n/a	Response	right	n/a
888.487696	0.518633	886.90625	2.128549	Sound	NPC	NPC_clean.wav
