Participant ID	OpenNeuroID	1. Age	2. Sex	3. Education	6a. Country of residence	6b. Country of origin	5.1 Native lanaguage: Language 1	5.1 Age of starting using language 1 in listening	5.1 Age of starting using language 1 in speaking	5.1 Age of starting using language 1 in reading	5.1 Age of starting using language 1 in writing	5.1 Years of using language 1	5.2 Language 2	5.2 Age of starting using language 2 in listening	5.2 Age of starting using language 2 in speaking	5.2 Age of starting using language 2 in reading	5.2 Age of starting using language 2 in writing	5.2 Years of using language 2	5.3 Language 3	5.3 Age of starting using language 3 in listening	5.3 Age of starting using language 3 in speaking	5.3 Age of starting using language 3 in reading	5.3 Age of starting using language 3 in writing	5.3 Years of using language 3	5.4 Language 4	5.4 Age of starting using language 4 in listening	5.4 Age of starting using language 4 in speaking	5.4 Age of starting using language 4 in reading	5.4 Age of starting using language 4 in writing	5.4 Years of using language 4	10. Rating for language leanring skills (7-point Likert scale from [very poor] to [excellent])	11.1 [Rating for current ability] Language 1	11.1 Listening (7-point Likert scale from [very poor] to [native-like])	11.1 Speaking (7-point Likert scale from [very poor] to [native-like])	11.1 Reading (7-point Likert scale from [very poor] to [native-like])	11.1 Writing (7-point Likert scale from [very poor] to [native-like])	11.2 [Rating for current ability] Language 2	11.2 Listening (7-point Likert scale from [very poor] to [native-like])	11.2 Speaking (7-point Likert scale from [very poor] to [native-like])	11.2 Reading (7-point Likert scale from [very poor] to [native-like])	11.2 Writing (7-point Likert scale from [very poor] to [native-like])	11.3 [Rating for current ability] Language 3	11.3 Listening (7-point Likert scale from [very poor] to [native-like])	11.3 Speaking (7-point Likert scale from [very poor] to [native-like])	11.3 Reading (7-point Likert scale from [very poor] to [native-like])	11.3 Writing (7-point Likert scale from [very poor] to [native-like])	11.4 [Rating for current ability] Language 4	11.4 Listening (7-point Likert scale from [very poor] to [native-like])	11.4 Speaking (7-point Likert scale from [very poor] to [native-like])	11.4 Reading (7-point Likert scale from [very poor] to [native-like])	11.4 Writing (7-point Likert scale from [very poor] to [native-like])	13.1 [Rating for the strength of accent] Language 1	13.1 Accent (7-point scale ranging from [none] to [extreme])	13.2 [Rating for the strength of accent] Language 2	13.2 Accent (7-point scale ranging from [none] to [extreme])	13.3 [Rating for the strength of accent] Language 3	13.3 Accent (7-point scale ranging from [none] to [extreme])	13.4 [Rating for the strength of accent] Language 4	13.4 Accent (7-point scale ranging from [none] to [extreme])	19.1 Language 1 which your friends also speak	19.1 Percentage of friends	19.2 Language 2 which your friends also speak	19.2 Percentage of friends	19.3 Language 3 which your friends also speak	19.3 Percentage of friends	19.4 Language 4 which your friends also speak	19.4 Percentage of friends
2022	50	24	F	 BA/BS	China	China	English	n/a	7	7	7	14		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	4	4	4	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	n/a	n/a	n/a	n/a	n/a	n/a	English	70	n/a	n/a	n/a	n/a	n/a	n/a
2123	51	24	F	 BA/BS	China	China	Chinese (Simplified)	n/a	n/a	n/a	n/a		English	n/a	8	8	12	16	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	4	3	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	3	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	95	English	5	n/a	n/a	n/a	n/a
2024	52	34	M	 BA/BS	China	Hong Kong	Chinese (Traditional)	n/a	n/a	n/a	n/a	34	English	n/a	n/a	6	6	n/a	Chinese (Simplified)	n/a	24	24	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	Chinese (Traditional)	7	7	7	7	English	5	5	6	5	Chinese (Traditional)	5	5	6	6	n/a	n/a	n/a	n/a	n/a	English	3	Chinese (Simplified)	4	n/a	n/a	n/a	n/a	Chinese (Traditional)	33	English	33	Chinese (Simplified)	33	n/a	n/a
2025	53	25	F	 BA/BS	China	China	English	n/a	n/a	10	10	10	Japanese	n/a	n/a	21	21	1	French	n/a	n/a	24	24	1	n/a	n/a	n/a	n/a	n/a	n/a	6	English	4	5	5	5	French	2	3	4	3	Japanese	2	3	6	2	n/a	n/a	n/a	n/a	n/a	English	1	Japanese	1	French	1	n/a	n/a	Chinese (Simplified)	80	English	10	French	8	Japanese	2
2026	54	22	F	MA	China	China	Chinese (Simplified)	n/a	2	5	5	17	English	n/a	11	11	11	11	Korean	n/a	19	19	19	3	n/a	n/a	n/a	n/a	n/a	n/a	4	Chinese (Simplified)	7	7	7	7	English	5	5	5	4	Korean	4	3	3	2	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	1	English	4	Korean	4	n/a	n/a	Chinese (Simplified)	99	English	1	n/a	n/a	n/a	n/a
2027	55	21	M	 BA/BS	China	China	Chinese (Traditional)	n/a	3	3	6	18	Chinese (Simplified)	n/a	6	6	6	15	English	n/a	8	8	8	13	n/a	n/a	n/a	n/a	n/a	n/a	5	Chinese (Traditional)	7	7	7	6	Chinese (Simplified)	6	6	6	7	English	6	5	6	5	n/a	n/a	n/a	n/a	n/a	Chinese (Traditional)	1	Chinese (Simplified)	3	Chinese (Simplified)	3	n/a	n/a	Chinese (Traditional)	40	Chinese (Simplified)	50	English	20	n/a	n/a
2128	56	22	F	 BA/BS	China	China	Chinese (Simplified)	n/a	2	2	3	20	Chinese (Traditional)	n/a	12	12	12	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	Chinese (Simplified)	7	7	7	7	English	3	4	4	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	5	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	100	English	20	n/a	n/a	n/a	n/a
3101	1	21	M	BA/BS	China	China	Chinese (simplified)	1	2	3	4	20	English	4	4	5	5	16	Japanese	12	17	19	19	3	German	15	15	15	15	2	6	English	6	6	6	6	Japanese	5	6	4	3	German	1	3	1	1	n/a	n/a	n/a	n/a	n/a	English	2	Japanese	4	German	6	n/a	n/a	Chinese (simplified)	95	English	80	Japanese	20	German	5
3002	2	26	M	PhD/MD/JD	United States	China	Chinese (simplified)	26	26	26	26	26	English	14	6	14	14	14	Japanese	1	1	1	1	1	n/a	n/a	n/a	n/a	n/a	n/a	6	English	6	5	6	5	Japanese	3	2	3	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	Japanese	3	n/a	n/a	n/a	n/a	Chinese (simplified)	50	English	100	Japanese	5	n/a	n/a
3003	3	19	F	BA/BS	United States	China	Chinese (simplified)	19	19	19	19	76	English	14	14	14	14	56	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	5	5	5	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	n/a	n/a	n/a	n/a	n/a	n/a	English	98	n/a	n/a	n/a	n/a	n/a	n/a
3004	4	29	M	PhD/MD/JD	United States	Taiwan	Chinese (traditional)	0	0	0	0	29	English	10	10	10	10	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	5	4	5	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (traditional)	100	English	90	n/a	n/a	n/a	n/a
3005	5	19	F	BA/BS	United States	China	Chinese (simplified)	19	19	19	19	19	English	9	9	9	9	9	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	English	6	5	6	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	3	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (simplified)	90	English	10	n/a	n/a	n/a	n/a
3106	6	21	M	BA/BS	China	China	Chinese (simplified)	21	21	18	16	21	English	15	2	10	3	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	English	5	4	6	4	Japanese	3	3	1	1	Korean	3	3	1	1	n/a	n/a	n/a	n/a	n/a	English	5	Japanese	4	Korean	4	n/a	n/a	Chinese (simplified)	95	English	30	Japanese	2	Korean	5
3007	7	21	M	BA/BS	United States	China	Chinese (simplified)	21	20	15	14	21	English	12	10	12	12	12	Korean	1	1	1	1	1	n/a	n/a	n/a	n/a	n/a	n/a	4	English	5	5	6	6	Korean	3	3	3	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	5	Korean	6	n/a	n/a	n/a	n/a	Chinese (simplified)	95	English	60	Korean	5	n/a	n/a
3008	8	33	M	PhD/MD/JD	United States	China	Chinese (simplified)	33	33	27	27	33	English	21	21	21	21	21	Italian	14	14	14	14	14	n/a	n/a	n/a	n/a	n/a	n/a	5	English	6	6	6	6	Italian	6	6	6	6	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	Italian	3	n/a	n/a	n/a	n/a	Chinese (simplified)	50	English	40	Italian	10	n/a	n/a
3009	9	21	M	BA/BS	United States	China	Chinese (simplified)	21	21	21	21	n/a	Chinese (traditional)	21	21	21	0	n/a	English	7	6	6	6	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	English	7	7	5	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	2	n/a	n/a	n/a	n/a	n/a	n/a	English	90	n/a	n/a	n/a	n/a	n/a	n/a
3010	10	23	M	PhD/MD/JD	United States	Taiwan	Chinese (traditional)	0	0	0	0	23	English	7	7	7	7	16	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	Chinese (simplified)	6	5	6	4	English	6	5	6	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (simplified)	4	English	4	n/a	n/a	n/a	n/a	Chinese (traditional)	80	Chinese (simplified)	15	English	5	n/a	n/a
3011	11	22	M	BA/BS	United States	China	Chinese (simplified)	0	0	0	6	n/a	English	6	6	6	6	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3012	12	29	M	PhD/MD/JD	United States	China	Chinese (simplified)	3	4	6	6	23	Chinese (traditional)	0	1	7	12	28	English	4	10	10	10	20	n/a	n/a	n/a	n/a	n/a	n/a	6	Chinese (simplified)	7	7	7	7	Chinese (traditional)	7	7	7	3	English	4	4	5	5	n/a	n/a	n/a	n/a	n/a	Chinese (simplified)	3	Chinese (traditional)	2	English	4	n/a	n/a	Chinese (simplified)	90	Chinese (traditional)	70	English	40	n/a	n/a
3013	13	21	M	BA/BS	United States	China	Chinese (simplified)	0	0	0	0	21	English	8	8	8	8	13	Korean	20	20	20	20	1	n/a	n/a	n/a	n/a	n/a	n/a	7	English	7	7	7	7	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	3	Korean	4	n/a	n/a	n/a	n/a	Chinese (simplified)	98	English	100	Korean	10	n/a	n/a
3014	14	30	M	PhD/MD/JD	United States	Taiwan	Chinese (traditional)	30	30	25	25	30	English	20	20	20	20	20	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	5	5	6	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (traditional)	80	English	20	n/a	n/a	n/a	n/a
3015	15	27	M	PhD/MD/JD	United States	China	Chinese (simplified)	27	25	20	20	25	English	4	1	12	5	12	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	2	3	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (simplified)	98	English	25	n/a	n/a	n/a	n/a
3016	16	21	M	BA/BS	United States	China	Chinese (simplified)	0	2	5	6	21	English	0	3	6	6	18	Latin	16	16	16	16	1	Japanese	15	15	15	15	2	6	English	6	6	6	6	Latin	3	2	3	3	Japanese	3	3	4	3	n/a	n/a	n/a	n/a	n/a	English	2	Latin	7	Japanese	6	n/a	n/a	Chinese (simplified)	80	English	18	Japanese	2	Latin	n/a
3017	17	30	M	PhD/MD/JD	China	China	Chinese (simplified)	0	0	5	5	30	English	13	13	13	13	17	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	English	4	1	4	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (simplified)	1	English	6	n/a	n/a	n/a	n/a	Chinese (simplified)	99	English	50	n/a	n/a	n/a	n/a
3018	18	25	M	PhD/MD/JD	United States	China	Chinese (simplified)	0	0	0	0	25	English	7	7	7	7	18	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	Chinese (simplified)	7	7	7	7	English	5	6	5	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	3	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (simplified)	70	English	100	n/a	n/a	n/a	n/a
3019	19	22	M	BA/BS	United States	China	Chinese (simplified)	0	1	4	5	22	English	8	8	11	14	14	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	English	7	6	5	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	2	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (simplified)	30	English	70	n/a	n/a	n/a	n/a
3020	20	27	F	PhD/MD/JD	United States	China	Chinese (simplified)	27	26	22	22	97	English	15	15	15	15	60	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	3	3	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	5	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (simplified)	99	English	80	n/a	n/a	n/a	n/a
3021	21	28	F	PhD/MD/JD	United States	China	Chinese (simplified)	0	2	3	5	28	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	2	3	4	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	6	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (simplified)	90	English	70	n/a	n/a	n/a	n/a
